1.12340 6.322565 0.000 39.70 0.02000 1.0 0.500 0.1667 0.000 4.0 0.200 0.10000 0.208 0.0 0.36 0.00 0.086 0.200 4.0556 0.000 0.9880 4.8889 277.0 0.0 1.0 0.0000 0.0020 14.920970 0.0 0.87 4.518372 0.0 0.6543 -1.042138 0.001 0.031227 1.0 1.0 0.000 0.5200 0.0136 0.9240
0.13530 6.924613 0.000 39.60 0.01140 1.0 0.920 0.1667 0.000 4.0 0.000 0.08470 0.005 0.0 0.27 0.00 0.050 0.020 4.0000 0.000 0.8110 4.3333 146.0 0.0 0.0 0.0000 0.0010 1.340771 0.0 0.72 0.448958 1.0 1.4772 -0.865835 0.005 0.027802 0.0 0.0 0.000 0.0400 0.0187 0.1970
1.51130 5.743003 0.000 40.60 0.01490 1.0 0.350 0.5000 0.000 0.0 0.160 0.16560 0.002 0.0 0.25 0.00 0.014 0.160 6.0000 0.000 0.8720 6.0000 216.0 0.0 1.0 0.0000 0.0000 5.520315 0.0 0.93 8.397841 0.0 0.2154 -0.596747 0.000 0.033545 1.0 0.0 0.000 0.0500 0.0265 0.9450
3.27710 6.981006 0.000 48.60 0.03300 0.0 0.980 0.5000 0.133 4.0 0.010 0.10590 0.079 0.0 0.66 0.00 0.848 0.000 4.8889 0.000 0.8080 5.6111 104.0 0.0 0.0 0.0000 0.9860 1.181036 0.0 0.16 3.959226 1.0 3.6816 -1.273680 0.006 0.022372 0.0 0.0 0.010 0.0000 0.0369 0.1640
-0.93650 6.519147 0.000 43.20 0.00480 1.0 0.160 0.1667 0.156 3.0 0.330 0.03710 0.001 0.0 0.49 0.00 0.014 0.330 5.6111 0.000 0.9960 5.7778 155.0 0.0 1.0 0.0000 0.0000 3.250158 0.0 0.90 31.951080 0.0 0.0228 -0.702592 0.002 0.034838 1.0 1.0 0.000 0.4300 0.0190 0.2360
-1.44370 6.131227 0.000 42.10 0.00910 1.0 0.100 0.1667 0.000 3.0 0.200 0.05690 0.047 0.0 0.60 0.00 1.855 0.500 6.3889 0.000 0.9320 6.5556 201.0 0.0 1.0 0.0000 0.0000 7.279905 0.0 0.90 8.494395 0.0 0.0569 -0.743388 0.001 0.027784 0.0 1.0 0.000 0.2670 0.0270 2.3450
-1.20790 6.856462 0.000 41.80 0.03720 1.0 0.190 0.5000 0.044 1.0 0.310 0.28030 0.204 0.0 0.42 0.00 0.086 0.310 5.1111 0.180 0.9980 5.1111 206.0 76.0 0.0 0.0000 0.0000 1.137984 0.0 0.82 6.197646 0.0 1.2942 -1.015283 0.000 0.033396 1.0 1.0 0.000 0.0500 0.0159 0.7530
0.45610 6.917706 0.000 45.50 0.00860 1.0 0.010 0.1667 0.000 3.0 0.250 0.20260 0.060 0.0 0.96 0.00 0.086 0.250 5.0556 0.000 0.6560 4.8333 164.0 0.0 1.0 0.0740 0.0000 1.683379 0.0 0.54 10.133850 0.0 1.7876 -0.817351 0.000 0.030956 1.0 1.0 0.000 0.3000 0.0163 0.3910
2.58600 8.893985 0.000 71.10 0.08605 0.0 0.000 1.0000 0.956 5.0 0.260 0.14745 0.034 0.0 1.00 0.00 0.000 0.460 1.0000 0.000 0.4880 1.0000 83.0 0.0 0.0 0.6140 0.2430 6.674685 0.0 0.75 0.000100 0.0 4.3727 -0.986981 0.160 0.013423 1.0 1.0 0.000 0.0000 0.0365 9.9760
1.96170 7.607381 0.000 61.90 0.03100 0.0 0.000 0.6667 0.422 3.0 0.000 0.11610 0.035 1.0 0.96 0.00 0.221 0.950 1.0000 0.000 0.8030 1.0000 91.0 76.0 0.0 0.0160 0.8910 0.373519 1.0 0.07 1.595279 0.0 0.9941 -1.196666 0.049 0.030175 0.0 0.0 0.000 0.0000 0.0350 0.0510
1.88290 7.043160 0.000 52.20 0.02100 0.0 0.000 0.5000 0.000 3.0 0.000 0.15080 0.024 1.0 0.98 0.00 0.369 0.950 2.5556 0.000 0.8040 2.1667 129.0 0.0 1.0 0.0010 0.8700 0.906619 0.0 0.04 3.840143 1.0 1.8561 -1.270825 0.013 0.026829 0.0 0.0 0.000 0.3600 0.0187 0.0490
0.84750 7.229114 0.000 50.80 0.01300 0.0 0.000 0.1667 0.400 3.0 0.200 0.06740 0.002 1.0 0.80 0.00 0.190 0.750 3.7778 0.000 0.7130 3.2778 132.0 0.0 1.0 0.0000 0.9230 0.838334 1.0 0.17 3.355507 0.0 1.3775 -1.120245 0.011 0.022344 0.0 0.0 0.000 0.5600 0.0224 0.0210
0.82230 7.401231 0.000 45.90 0.02000 0.0 0.000 0.1667 0.422 3.0 0.030 0.06810 0.003 1.0 0.45 0.00 0.000 0.950 4.1111 0.000 0.7200 4.0000 109.0 90.0 1.0 0.0000 0.5880 1.267687 1.0 0.64 4.152047 0.0 1.4622 -1.140059 0.016 0.027946 0.0 0.0 0.000 0.5070 0.0156 0.1090
-0.87060 6.769642 0.000 42.40 0.00270 0.0 0.000 0.0000 0.000 3.0 0.160 0.06830 0.002 1.0 0.46 0.00 0.000 0.800 5.6667 0.000 0.7440 6.5000 114.0 0.0 1.0 0.0000 0.0750 2.029131 0.0 0.01 0.000100 1.0 1.8932 -0.629234 0.004 0.017617 0.0 0.0 0.000 0.1600 0.0153 0.0280
0.86580 6.906755 0.000 46.80 0.04460 0.0 0.000 0.1667 0.356 3.0 0.020 0.09390 0.014 1.0 0.67 0.00 0.000 0.970 3.0000 0.000 0.9190 4.0556 156.0 80.0 1.0 0.0030 0.8430 0.618233 1.0 0.16 1.096958 0.0 1.4194 -1.140998 0.011 0.033245 0.0 1.0 0.000 0.3200 0.0211 0.1120
1.06340 7.492203 0.000 63.00 0.04600 0.0 0.000 0.1667 0.422 5.0 0.560 0.16040 0.089 1.0 0.92 0.00 0.020 0.050 2.6111 0.000 0.4710 1.7222 139.0 0.0 1.0 0.9400 0.0000 0.667890 0.0 0.05 2.904762 0.0 1.8055 -0.891598 0.017 0.014329 1.0 0.0 0.000 0.0000 0.0201 0.0110
2.11010 7.936660 0.000 57.30 0.02200 0.0 0.000 0.6667 0.200 3.0 0.060 0.17390 0.032 1.0 0.80 0.00 0.000 0.890 3.6667 0.000 0.6750 3.6667 71.0 0.0 0.0 0.0000 0.8800 10.995380 1.0 0.30 1.451461 0.0 1.6759 -1.240637 0.026 0.028529 0.0 0.0 0.000 0.0000 0.0134 1.9580
-0.77290 7.301148 0.000 47.30 0.01390 0.0 0.000 0.1667 0.333 3.0 0.050 0.12620 0.039 1.0 0.66 0.00 0.320 0.950 4.7222 0.000 0.8390 5.1111 103.0 81.0 1.0 0.0090 0.6460 0.442824 1.0 0.10 14.221240 0.0 1.2211 -1.215371 0.012 0.031694 0.0 0.0 0.000 0.2000 0.0165 0.1300
2.59580 7.315884 0.000 60.90 0.03880 0.0 0.000 0.1667 0.276 3.0 0.060 0.22310 0.001 1.0 0.96 0.00 0.000 0.930 4.8333 0.000 0.9640 5.7222 129.0 0.0 0.0 0.1400 0.6950 0.382973 1.0 0.28 0.000100 0.0 0.9206 -1.097813 0.046 0.024991 0.0 0.0 0.000 0.1600 0.0365 0.0770
1.95800 9.187481 0.000 69.80 0.06670 0.0 0.000 1.0000 1.000 5.0 0.560 0.14510 0.018 0.0 1.00 0.00 0.000 0.280 1.0000 0.000 0.2980 1.0000 90.0 0.0 1.0 0.8860 0.0890 73.171760 0.0 0.50 0.000100 0.0 3.4360 -0.903868 0.321 0.011011 1.0 0.0 0.020 0.0000 0.0383 9.3730
0.64210 8.099858 0.000 65.20 0.01600 0.0 0.000 0.3333 0.089 5.0 0.020 0.12000 0.023 1.0 0.98 0.00 0.160 0.900 3.5556 0.000 0.8610 3.9444 113.0 0.0 1.0 0.0000 0.8360 8.110334 1.0 0.31 6.684972 0.0 3.6676 -0.932928 0.109 0.015255 0.0 0.0 0.020 0.9600 0.0223 2.7670
1.26520 7.005789 0.000 42.80 0.01400 0.0 0.000 0.1667 0.733 3.0 0.030 0.11950 0.075 1.0 0.64 0.00 0.030 0.950 3.6667 0.000 0.9690 4.1111 181.0 0.0 0.0 0.0000 0.3720 1.184031 1.0 0.68 23.606560 0.0 1.5190 -1.063052 0.036 0.025138 0.0 0.0 0.000 1.1900 0.0158 1.0990
2.40470 7.464510 0.000 54.90 0.06460 0.0 0.000 0.6667 0.089 3.0 0.000 0.16440 0.017 1.0 0.95 0.00 0.240 0.900 3.3889 0.000 0.8580 3.3889 97.0 0.0 0.0 0.0000 0.9980 23.338970 0.0 0.07 1.557664 0.0 1.9557 -1.134758 0.016 0.024529 0.0 0.0 0.000 0.1200 0.0041 8.5120
1.38710 7.971776 0.000 57.30 0.01520 0.0 0.000 0.8333 0.422 5.0 0.110 0.13000 0.155 1.0 1.00 0.00 0.540 0.890 4.6667 0.000 0.9560 5.7778 100.0 0.0 1.0 0.0000 0.9310 2.480641 1.0 0.14 33.135710 0.0 3.3554 -1.121472 0.042 0.018302 0.0 0.0 0.000 0.2000 0.0262 0.7570
2.11680 7.412764 0.000 53.20 0.01600 0.0 0.000 0.3333 0.089 3.0 0.000 0.16440 0.062 1.0 0.77 0.00 0.184 0.950 2.8889 0.000 0.9190 2.1111 81.0 0.0 1.0 0.0000 0.9800 4.823141 1.0 0.06 1.466288 0.0 0.4788 -1.195343 0.017 0.024440 0.0 0.0 0.000 0.0000 0.0230 1.1390
2.20430 7.266129 0.000 53.40 0.02700 0.0 0.000 0.6667 0.844 3.0 0.000 0.21720 0.098 1.0 0.83 0.00 0.201 0.950 3.1111 0.000 0.9830 3.7222 113.0 0.0 0.0 0.0000 0.7140 1.397156 1.0 0.53 2.405140 0.0 0.2062 -1.150116 0.026 0.029481 0.0 1.0 0.000 0.5600 0.0155 0.2840
1.91380 7.096721 0.000 63.90 0.01000 0.0 0.000 0.1667 0.133 3.0 0.050 0.10700 0.005 1.0 0.98 0.00 0.101 0.900 5.2222 0.000 0.9110 4.9444 141.0 0.0 0.0 0.0000 0.0360 0.568567 1.0 0.14 4.591856 0.0 2.5583 -1.137873 0.024 0.029773 0.0 0.0 0.000 0.0800 0.0138 0.4070
0.03690 7.568379 0.000 48.00 0.02000 0.0 0.000 0.3333 0.489 3.0 0.000 0.10060 0.022 1.0 0.83 0.00 0.023 0.950 3.7778 0.000 0.9850 3.7778 83.0 0.0 1.0 0.0000 0.5640 3.176927 1.0 0.59 3.322654 0.0 1.1794 -1.139747 0.041 0.026207 0.0 0.0 0.000 0.2800 0.0245 1.2850
0.59470 8.255049 0.000 67.30 0.01500 0.0 0.000 0.5000 0.111 3.0 0.020 0.10350 0.001 1.0 1.00 0.00 0.021 0.660 4.1667 0.000 0.7960 4.2222 92.0 77.0 0.0 0.0000 1.0000 1.028905 1.0 0.20 2.793939 0.0 3.4822 -0.902881 0.079 0.006722 0.0 0.0 0.020 0.0000 0.0241 0.1770
0.17190 8.726968 0.000 59.80 0.03500 0.0 0.000 0.5000 0.311 3.0 0.020 0.07950 0.110 1.0 1.00 0.00 0.304 0.960 2.0556 0.000 0.9850 1.2222 109.0 87.0 0.0 0.0000 0.9690 2.387136 1.0 0.11 4.890340 0.0 0.9843 -1.145075 0.043 0.032619 0.0 1.0 0.000 0.3200 0.0180 0.9120
6.06580 7.706163 0.300 66.00 0.06840 0.0 0.000 1.0000 1.000 5.0 0.050 0.13070 0.001 0.0 0.87 0.30 0.002 0.050 2.1100 0.000 0.0410 3.6100 116.0 0.0 0.0 0.0040 0.9800 1.197405 0.0 0.02 0.051302 0.0 2.2704 -0.943148 0.044 0.021764 1.0 1.0 0.000 0.0000 0.0168 0.0010
1.53110 6.499787 0.000 42.50 0.01370 0.0 0.110 0.5000 0.022 3.0 0.010 0.15450 0.017 0.0 0.61 0.01 0.523 0.010 3.0556 0.830 0.4800 2.0000 94.0 0.0 1.0 0.0000 0.0000 195.781500 0.0 0.89 2.164231 0.0 2.5274 -0.815089 0.025 0.022118 1.0 0.0 0.000 0.1200 0.0210 3.2880
3.10910 8.116118 0.000 71.70 0.11120 0.0 0.140 0.1667 0.222 4.0 0.010 0.17470 0.006 0.0 0.98 0.00 0.210 0.010 2.3333 0.000 0.2950 2.0000 110.0 79.0 1.0 0.0000 0.3380 0.758926 0.0 0.20 1.385087 0.0 3.2084 -1.024433 0.102 0.026064 1.0 0.0 0.820 0.0000 0.0368 0.0210
5.18330 7.998335 0.000 67.70 0.12230 0.0 0.000 1.0000 0.733 5.0 0.010 0.23770 0.003 0.0 1.00 0.87 0.000 0.000 1.0000 0.000 0.0670 1.4444 118.0 0.0 0.0 0.0000 0.0000 44.714421 0.0 0.01 0.000100 0.0 3.5712 -0.744019 0.095 0.009468 0.0 1.0 0.000 0.0000 0.0317 0.3780
1.99350 7.039660 0.000 47.20 0.03460 0.0 0.920 0.1667 0.667 5.0 0.040 0.14200 0.037 0.0 0.77 0.00 0.021 0.040 5.6667 0.000 0.8380 5.7222 116.0 0.0 1.0 0.0000 1.0000 0.439005 0.0 0.05 0.359061 0.0 3.1602 -1.350927 0.006 0.028379 1.0 0.0 0.000 0.2000 0.0329 0.0890
6.61790 6.783325 0.600 54.20 0.06200 0.0 0.000 0.5000 0.600 3.0 0.120 0.16170 0.007 0.0 0.94 0.16 0.602 0.120 5.1667 0.000 0.2340 4.4444 110.0 0.0 0.0 0.0000 0.0000 8.453514 0.0 0.00 2.819555 0.0 3.7553 -1.084414 0.047 0.018594 0.0 1.0 0.000 0.4000 0.0352 0.0990
4.30880 7.230563 0.010 54.30 0.04000 0.0 0.540 0.6667 1.000 5.0 0.020 0.19240 0.103 0.0 0.96 0.27 0.018 0.010 4.0556 0.070 0.9260 3.1111 88.0 0.0 0.0 0.0000 0.3090 2.817254 0.0 0.72 0.215245 0.0 0.3269 -1.061028 0.012 0.026187 1.0 1.0 0.000 0.0400 0.0281 0.3300
2.66030 6.432940 0.000 43.30 0.01500 0.0 0.970 0.1667 0.000 3.0 0.010 0.10730 0.006 0.0 0.30 0.00 0.610 0.010 4.7778 0.010 0.4280 4.9444 77.0 0.0 1.0 0.0000 0.0000 17.144560 0.0 0.64 3.522031 0.0 3.1173 -1.069442 0.010 0.030556 1.0 0.0 0.000 0.3200 0.0154 0.7960
1.25330 7.013916 0.000 53.10 0.03000 0.0 0.050 0.1667 0.156 3.0 0.090 0.11930 0.019 0.0 0.95 0.02 0.340 0.830 4.2778 0.000 0.9240 4.2778 92.0 0.0 1.0 0.0000 0.0120 10.517280 0.0 0.74 2.098332 0.0 1.3922 -0.963382 0.127 0.027496 0.0 0.0 0.000 0.4400 0.0233 0.3000
6.16220 7.410347 0.150 63.70 0.14820 0.0 0.150 1.0000 1.000 4.0 0.000 0.17420 0.001 0.0 1.00 0.46 0.018 0.000 4.9444 0.060 0.6950 4.5000 87.0 0.0 0.0 0.0890 0.7130 0.536769 0.0 0.42 0.179217 0.0 0.1355 -1.113218 0.064 0.016857 1.0 1.0 0.000 0.0000 0.0334 0.0010
2.12050 7.144407 0.000 62.30 0.01100 0.0 0.080 0.3333 0.400 2.0 0.040 0.13720 0.014 0.0 0.95 0.69 0.871 0.040 3.4444 0.150 0.9860 2.4444 51.0 0.0 1.0 0.0090 0.0000 3.550151 0.0 0.47 26.847330 0.0 0.6868 -1.024433 0.006 0.019052 1.0 1.0 0.000 0.0800 0.0382 0.0660
6.08950 7.214504 0.310 65.40 0.05190 0.0 0.000 1.0000 0.711 3.0 0.020 0.15540 0.022 0.0 0.96 0.31 0.154 0.020 4.6667 0.000 0.1630 5.1667 116.0 0.0 0.0 0.0000 0.9900 3.617479 0.0 0.42 0.000100 0.0 2.5259 -1.093028 0.046 0.021919 0.0 1.0 0.000 0.0500 0.0142 0.0360
4.57150 6.827629 0.000 52.70 0.02300 0.0 0.040 0.5000 1.000 3.0 0.010 0.15780 0.017 0.0 0.83 0.95 0.027 0.000 3.7778 0.000 0.9200 3.9444 75.0 0.0 1.0 0.0000 0.0230 13.441450 0.0 0.66 0.456323 0.0 1.3770 -0.674718 0.019 0.025667 0.0 0.0 0.000 0.4400 0.0181 0.5130
2.92210 8.547140 0.000 68.80 0.10059 0.0 0.000 1.0000 0.778 4.0 0.060 0.13391 0.004 0.0 1.00 0.00 0.000 0.850 1.0000 0.000 0.1980 1.0000 100.0 0.0 0.0 0.0000 0.9800 3.384449 0.0 0.13 0.000100 0.0 4.8231 -0.733553 0.080 0.002369 0.0 0.0 0.000 0.0000 0.0248 0.0840
2.85710 8.622273 0.000 69.70 0.06348 0.0 0.000 1.0000 0.778 5.0 0.130 0.17082 0.000 0.0 1.00 0.00 0.000 0.750 1.0000 0.000 0.2380 1.0000 100.0 88.0 0.0 0.0000 0.3450 3.525736 0.0 0.55 0.000100 0.0 5.0837 -0.953993 0.090 0.002494 0.0 1.0 0.000 0.0000 0.0463 0.0310
4.52860 7.620215 0.000 68.80 0.05510 0.0 0.180 0.3333 1.000 5.0 0.000 0.25780 0.004 0.0 1.00 0.00 0.030 0.000 2.8333 0.000 0.8430 2.1111 92.0 0.0 1.0 0.0000 0.0030 0.234987 0.0 0.35 0.302042 0.0 3.5081 -0.891354 0.009 0.006819 1.0 0.0 0.000 0.1200 0.0118 0.0090
2.29550 8.817001 0.000 72.20 0.07350 0.0 0.000 1.0000 0.778 4.0 0.920 0.19260 0.006 0.0 1.00 0.00 0.000 0.010 1.0000 0.000 0.4600 1.0000 112.0 0.0 0.0 0.0000 0.0050 2.092143 0.0 0.05 0.000100 0.0 5.5718 -0.783729 0.104 0.003714 0.0 0.0 0.000 0.0000 0.0339 0.0430
2.63920 8.591187 0.000 68.50 0.11696 0.0 0.000 1.0000 0.778 4.0 0.890 0.25214 0.004 0.0 0.97 0.00 0.000 0.000 1.9444 0.000 0.3330 1.8333 126.0 76.0 0.0 0.0000 0.0000 2.024067 0.0 0.16 0.000100 0.0 6.0212 -0.783291 0.074 0.004215 0.0 0.0 0.000 0.0000 0.0446 0.3380
2.67350 8.696343 0.000 70.40 0.08126 0.0 0.010 1.0000 0.800 4.0 0.020 0.18114 0.005 0.0 1.00 0.00 0.000 0.900 1.8611 0.000 0.2530 1.0000 98.0 90.0 0.0 0.0000 1.0040 19.740060 0.0 0.26 0.000100 0.0 4.8857 -0.839098 0.075 0.007078 0.0 0.0 0.010 0.0000 0.0231 0.5520
2.57230 8.803875 0.000 69.40 0.07787 0.0 0.000 1.0000 0.800 5.0 0.450 0.20793 0.005 0.0 1.00 0.00 0.000 0.370 1.6389 0.000 0.1090 1.0000 109.0 76.0 0.0 0.0000 0.9490 26.175460 0.0 0.03 0.000100 0.0 4.8161 -0.750353 0.061 0.002908 0.0 1.0 0.000 0.0800 0.0211 0.2490
3.71190 7.633369 0.000 68.80 0.06836 0.0 0.010 0.5000 0.800 4.0 0.000 0.22514 0.017 0.0 1.00 0.00 0.007 0.000 2.2222 0.000 0.6540 1.9444 116.0 86.0 1.0 0.0000 0.0000 3.384926 0.0 0.10 0.358652 0.0 3.8058 -0.900171 0.039 0.006873 0.0 0.0 0.000 0.2000 0.0137 0.1320
3.49680 8.054205 0.000 69.70 0.07283 0.0 0.000 0.8333 0.644 5.0 0.030 0.18697 0.009 0.0 1.00 0.00 0.000 0.930 1.2222 0.000 0.5930 1.0000 119.0 78.0 0.0 0.7420 0.0000 1.118863 0.0 0.04 0.000100 0.0 5.4611 -0.929376 0.081 0.008975 1.0 1.0 0.000 0.0000 0.0286 0.0700
3.15780 8.446771 0.000 69.40 0.06034 0.0 0.000 0.8333 0.800 3.0 0.000 0.18906 0.002 0.0 1.00 0.00 0.000 1.000 1.5556 0.000 0.1680 1.2222 92.0 81.0 0.0 0.0000 0.0060 20.722560 0.0 0.04 0.000100 0.0 4.5415 -0.884792 0.066 0.004732 0.0 1.0 0.000 0.0400 0.0303 0.3010
2.39010 8.716700 0.000 73.30 0.08081 0.0 0.000 1.0000 0.800 4.0 0.270 0.17779 0.027 0.0 1.00 0.00 0.000 0.360 1.0000 0.000 0.4330 1.0000 105.0 76.0 0.0 0.0000 0.0000 4.073104 0.0 0.10 0.000100 0.0 5.1874 -1.036201 0.132 0.008540 0.0 1.0 0.000 0.0000 0.0412 0.0370
3.12200 8.640472 0.000 73.40 0.10136 0.0 0.000 1.0000 0.778 4.0 0.900 0.19054 0.079 0.0 1.00 0.00 0.000 0.020 1.0000 0.000 0.4460 1.0000 107.0 80.0 0.0 0.0000 0.0000 1.405901 0.0 0.04 0.000100 0.0 5.9977 -0.934964 0.069 0.005482 0.0 0.0 0.000 0.0000 0.0349 0.3240
4.02050 7.530480 0.000 63.70 0.05694 0.0 0.000 1.0000 0.778 4.0 0.010 0.16866 0.027 0.0 1.00 0.00 0.002 0.970 2.3889 0.000 0.3610 2.2222 92.0 0.0 0.0 0.0000 1.0000 3.354763 0.0 0.01 0.678256 0.0 3.8816 -0.967321 0.035 0.005991 0.0 0.0 0.000 0.2800 0.0138 0.0920
3.57080 8.059908 0.000 68.90 0.04708 0.0 0.000 0.8333 0.778 5.0 0.000 0.13032 0.006 0.0 1.00 0.00 0.000 0.990 2.8889 0.000 0.4650 2.3889 89.0 77.0 0.0 0.0000 0.7280 11.563760 0.0 0.44 0.000100 0.0 3.7398 -0.968374 0.040 0.008830 0.0 0.0 0.000 0.0800 0.0097 0.5050
1.91650 8.923325 0.000 73.20 0.05100 0.0 0.000 1.0000 0.778 4.0 0.950 0.19430 0.003 0.0 0.96 0.00 0.000 0.020 1.0000 0.000 0.2510 1.0556 142.0 90.0 0.0 0.0000 0.0000 3.271752 0.0 0.08 0.000100 0.0 5.9278 -0.826907 0.091 0.003828 0.0 0.0 0.000 0.0000 0.0412 0.4500
1.68380 9.173366 0.000 71.30 0.05300 0.0 0.000 1.0000 1.000 5.0 0.440 0.24490 0.033 0.0 1.00 0.00 0.000 0.480 1.0000 0.000 0.1040 1.0000 127.0 0.0 0.0 0.0000 0.8400 2.505126 0.0 0.50 0.000100 0.0 4.7408 -0.760998 0.067 0.007048 0.0 1.0 0.000 0.0000 0.0297 0.0410
2.71460 7.374002 0.000 50.50 0.03900 0.0 1.000 0.5000 0.133 3.0 0.000 0.16310 0.020 0.0 0.75 0.00 0.749 0.000 3.8889 0.000 0.9110 3.3333 99.0 0.0 1.0 0.0000 0.0140 13.963570 0.0 0.25 2.027422 0.0 4.1202 -0.678062 0.029 0.024306 0.0 0.0 0.000 0.3070 0.0268 0.7790
2.06760 8.780941 0.000 70.80 0.06860 0.0 0.000 1.0000 0.778 4.0 0.840 0.11580 0.022 0.0 0.92 0.00 0.000 0.150 1.0000 0.000 0.1670 1.0000 99.0 0.0 0.0 0.9740 0.0000 24.232530 0.0 0.32 0.000100 0.0 5.1510 -0.770676 0.090 0.002768 0.0 1.0 0.010 0.2400 0.0345 0.2450
1.88970 8.972083 0.000 70.70 0.09500 0.0 0.000 1.0000 0.689 5.0 0.500 0.22100 0.038 0.0 1.00 0.00 0.000 0.260 1.0000 0.000 0.8110 1.0000 129.0 0.0 0.0 0.9500 0.0000 4.185827 0.0 0.32 0.000100 0.0 3.2219 -0.901895 0.131 0.016453 1.0 0.0 0.000 0.0000 0.0217 7.6870

